Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
36,Victor Oladipo\oladivi01,2016-17,24,OKC,NBA,7.2,67,67,2222,13.6,.378,.165,1.9,12.6,12.5,1.7,0.8,10.6,21.4,106,109,1.7,2.3,4.0,.086,-0.4,-0.9,-1.3,0.4
37,Ricky Rubio\rubiori01,2016-17,26,MIN,NBA,7.2,75,75,2469,16.8,.302,.438,3.2,11.4,38.9,2.6,0.3,20.1,17.4,115,112,4.5,1.7,6.1,.119,1.7,-1.0,0.8,1.7
38,Raymond Felton\feltora01,2016-17,32,LAC,NBA,7.1,80,11,1700,10.9,.280,.125,2.2,11.8,16.3,2.0,1.1,13.3,16.5,101,109,0.2,1.8,2.0,.055,-1.8,0.9,-0.9,0.5
39,Marcus Smart\smartma01,2016-17,22,BOS,NBA,7.1,79,24,2399,12.0,.442,.334,3.7,10.5,22.0,2.6,1.1,15.6,18.8,102,108,0.5,2.7,3.2,.064,-1.1,0.8,-0.3,1.0
40,Danny Green\greenda02,2016-17,29,SAS,NBA,7.0,68,68,1807,10.2,.693,.071,2.0,11.8,9.6,2.0,2.6,14.1,13.5,103,104,0.4,3.0,3.4,.090,-0.3,2.7,2.4,2.0
41,Jeff Teague\teaguje01,2016-17,28,IND,NBA,7.0,82,82,2657,19.2,.278,.457,1.4,12.4,36.4,1.9,1.1,16.5,22.0,115,110,5.7,2.4,8.1,.147,2.4,-0.5,1.9,2.6
42,Manu Ginobili\ginobma01,2016-17,39,SAS,NBA,6.9,69,0,1291,13.9,.517,.244,2.5,11.1,20.8,3.2,1.0,16.5,20.4,104,102,0.6,2.4,3.0,.110,0.5,1.4,1.9,1.3
43,Norman Powell\powelno01,2016-17,23,TOR,NBA,6.9,76,18,1368,14.0,.342,.314,2.2,11.7,9.3,1.9,0.9,10.8,21.1,109,109,1.4,1.4,2.8,.097,-0.4,-1.2,-1.5,0.2
44,Devin Harris\harride01,2016-17,33,DAL,NBA,6.8,65,0,1087,13.8,.519,.378,1.1,13.0,20.0,2.1,0.6,12.5,19.7,108,109,1.1,1.1,2.2,.096,-0.1,-0.3,-0.4,0.4
45,Cory Joseph\josepco01,2016-17,25,TOR,NBA,6.7,80,22,2003,13.2,.204,.185,2.9,10.4,20.0,1.7,0.6,13.2,18.4,108,110,1.7,1.7,3.4,.081,-0.4,-0.4,-0.8,0.6
46,Jamal Murray\murraja01,2016-17,19,DEN,NBA,6.7,82,10,1764,12.0,.472,.165,2.6,10.7,14.0,1.5,1.1,12.6,21.6,103,114,0.7,0.7,1.4,.038,-0.4,-2.0,-2.5,-0.2
47,D'Angelo Russell\russeda01,2016-17,20,LAL,NBA,6.7,63,60,1811,15.3,.443,.217,1.8,11.9,26.8,2.3,0.7,15.6,26.6,101,113,0.3,1.0,1.3,.034,1.1,-1.6,-0.5,0.7
48,Ish Smith\smithis01,2016-17,28,DET,NBA,6.6,81,32,1955,14.7,.140,.136,1.1,12.4,32.5,1.6,1.4,12.4,20.5,103,108,0.9,2.2,3.1,.076,-1.2,0.4,-0.8,0.6
49,Spencer Dinwiddie\dinwisp01,2016-17,23,BRK,NBA,6.5,59,18,1334,12.7,.334,.526,2.2,10.7,20.3,1.6,1.3,15.1,14.1,116,112,1.9,0.9,2.8,.101,-0.7,-0.2,-0.9,0.4
50,T.J. McConnell\mccontj01,2016-17,24,PHI,NBA,6.5,81,51,2133,13.6,.107,.176,2.0,11.0,37.5,3.0,0.4,22.5,14.5,106,108,1.4,2.3,3.7,.084,-2.1,0.0,-2.0,0.0
