Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
20,Kenny Carr\carrke01,1982-83,27,POR,NBA,14.2,82,26,2331,13.7,.008,.510,8.7,19.7,6.9,1.3,1.0,17.4,18.5,105,103,2.3,2.8,5.1,.106,-0.7,0.3,-0.4,0.9
21,Jeff Cook\cookje01,1982-83,26,TOT,NBA,14.1,75,22,1333,11.3,.010,.342,10.1,18.2,10.1,1.4,1.3,23.1,14.1,100,103,0.5,1.7,2.2,.078,-1.9,1.5,-0.5,0.5
22,Sam Williams\willisa02,1982-83,23,GSW,NBA,13.9,75,28,1533,15.6,.002,.357,10.5,17.5,3.9,2.1,3.2,15.4,16.8,109,104,2.0,1.7,3.7,.117,-0.5,0.6,0.1,0.8
23,Phil Hubbard\hubbaph01,1982-83,26,CLE,NBA,13.7,82,38,1953,13.9,.003,.496,12.6,14.9,6.7,2.2,0.2,17.8,19.0,103,106,1.6,1.8,3.4,.084,-0.1,0.0,-0.1,0.9
24,Glen Gondrezick\gondrgl01,1982-83,27,DEN,NBA,13.5,76,2,1130,13.5,.010,.388,9.6,17.3,10.0,3.0,0.4,12.5,12.9,112,105,1.5,1.1,2.5,.108,0.2,0.8,1.0,0.9
25,Larry Nance\nancela01,1982-83,23,PHO,NBA,13.5,82,82,2914,18.7,.003,.268,9.5,17.1,9.7,1.6,4.2,13.7,19.4,111,98,4.8,5.6,10.5,.172,1.4,3.3,4.6,4.9
26,Mickey Johnson\johnsmi01,1982-83,30,TOT,NBA,13.3,78,16,2053,15.8,.039,.413,8.7,18.0,17.5,1.8,1.3,17.9,25.5,100,102,1.2,2.9,4.1,.095,-0.4,0.7,0.4,1.2
27,George Johnson\johnsge03,1982-83,26,IND,NBA,12.8,82,64,2297,12.7,.044,.200,7.9,18.2,12.7,1.5,1.3,20.6,20.1,95,108,-0.4,1.4,1.0,.021,-1.6,-0.1,-1.7,0.2
28,Kevin McHale\mchalke01,1982-83,25,BOS,NBA,12.7,82,13,2345,17.6,.001,.301,9.9,15.4,6.1,0.7,4.5,13.6,19.6,111,102,4.1,3.4,7.5,.154,0.7,1.4,2.0,2.4
29,Gene Banks\banksge01,1982-83,23,SAS,NBA,12.3,81,81,2722,16.7,.005,.303,9.2,15.1,13.7,1.3,0.4,14.1,17.7,116,107,5.9,2.0,7.9,.140,2.8,0.4,3.2,3.6
30,Richard Anderson\anderri01,1982-83,22,SDC,NBA,12.2,78,5,1274,10.4,.044,.160,9.2,15.6,12.1,2.1,1.2,16.8,16.9,94,108,-0.3,0.8,0.5,.017,-2.4,-0.2,-2.6,-0.2
31,Michael Brooks\brookmi01,1982-83,24,SDC,NBA,12.1,82,26,2457,15.2,.018,.334,10.3,14.2,14.2,2.1,0.9,15.7,17.9,108,109,3.4,1.3,4.7,.091,1.4,0.2,1.5,2.2
32,Calvin Natt\nattca01,1982-83,26,POR,NBA,11.7,80,80,2879,19.0,.017,.361,8.3,15.1,9.1,1.0,0.6,12.9,22.3,115,106,7.1,2.7,9.8,.164,2.7,-0.7,2.1,3.0
33,Jay Vincent\vinceja01,1982-83,23,DAL,NBA,11.7,81,73,2726,17.1,.002,.270,8.4,15.1,11.1,1.2,0.9,11.7,23.4,109,109,4.8,1.2,6.0,.105,1.7,-1.1,0.5,1.8
